date,company,open,high,low,close,volume
2017-04-16,Arun Kabeli Power Ltd.,326,0,297,326,9361
2017-04-18,Arun Kabeli Power Ltd.,358,326,332,358,31151
2017-04-19,Arun Kabeli Power Ltd.,393,358,365,393,10034
2017-04-23,Arun Kabeli Power Ltd.,432,393,383,411,110978
2017-04-24,Arun Kabeli Power Ltd.,408,411,385,402,53027
2017-04-25,Arun Kabeli Power Ltd.,418,402,393,408,39076
2017-04-26,Arun Kabeli Power Ltd.,448,408,403,441,35032
2017-04-27,Arun Kabeli Power Ltd.,469,441,425,461,45822
2017-04-30,Arun Kabeli Power Ltd.,460,461,438,445,52492
2017-05-02,Arun Kabeli Power Ltd.,455,445,434,444,30617
2017-05-03,Arun Kabeli Power Ltd.,457,444,436,438,24825
2017-05-04,Arun Kabeli Power Ltd.,450,438,435,447,51497
2017-05-07,Arun Kabeli Power Ltd.,450,447,437,439,29759
2017-05-08,Arun Kabeli Power Ltd.,448,439,432,444,24419
2017-05-09,Arun Kabeli Power Ltd.,474,444,441,467,48134
2017-05-11,Arun Kabeli Power Ltd.,503,467,466,485,53131
2017-05-15,Arun Kabeli Power Ltd.,493,485,475,477,20965
2017-05-16,Arun Kabeli Power Ltd.,485,477,472,480,12819
2017-05-17,Arun Kabeli Power Ltd.,484,480,472,481,14404
2017-05-18,Arun Kabeli Power Ltd.,493,481,473,490,25777
2017-05-21,Arun Kabeli Power Ltd.,485,490,465,484,11480
2017-05-22,Arun Kabeli Power Ltd.,479,484,460,472,8730
2017-05-23,Arun Kabeli Power Ltd.,483,472,465,468,11209
2017-05-24,Arun Kabeli Power Ltd.,482,468,460,470,9904
2017-05-28,Arun Kabeli Power Ltd.,475,470,461,467,7736
2017-05-30,Arun Kabeli Power Ltd.,469,467,450,460,11667
2017-05-31,Arun Kabeli Power Ltd.,469,460,451,460,8876
2017-06-01,Arun Kabeli Power Ltd.,462,460,454,460,7009
2017-06-04,Arun Kabeli Power Ltd.,459,460,444,450,8662
2017-06-08,Arun Kabeli Power Ltd.,449,447,437,448,9330
2017-06-05,Arun Kabeli Power Ltd.,455,450,443,450,5406
2017-06-06,Arun Kabeli Power Ltd.,463,450,441,457,5992
2017-06-07,Arun Kabeli Power Ltd.,455,457,446,447,11678
2017-06-11,Arun Kabeli Power Ltd.,445,448,429,430,13870
2017-06-12,Arun Kabeli Power Ltd.,435,430,416,422,10653
2017-06-13,Arun Kabeli Power Ltd.,430,422,416,422,7280
2017-06-15,Arun Kabeli Power Ltd.,434,430,417,434,6410
2017-06-14,Arun Kabeli Power Ltd.,430,422,415,430,4893
2017-06-20,Arun Kabeli Power Ltd.,421,405,400,412,4359
2017-06-18,Arun Kabeli Power Ltd.,435,434,415,418,2107
2017-06-19,Arun Kabeli Power Ltd.,418,418,405,405,4938
2017-06-21,Arun Kabeli Power Ltd.,416,412,406,416,8927
2017-06-27,Arun Kabeli Power Ltd.,439,438,427,429,2938
2017-06-22,Arun Kabeli Power Ltd.,420,416,415,418,2909
2017-06-25,Arun Kabeli Power Ltd.,439,418,418,438,5526
2017-06-28,Arun Kabeli Power Ltd.,425,429,417,421,1161
2017-07-02,Arun Kabeli Power Ltd.,420,421,405,410,3952
2017-07-04,Arun Kabeli Power Ltd.,412,406,400,409,1815
2017-07-05,Arun Kabeli Power Ltd.,417,409,405,417,3711
