date,company,open,high,low,close,volume
2015-10-14,Barun Hydropower Co. Ltd.,284,0,284,284,10
2015-10-15,Barun Hydropower Co. Ltd.,304,284,289,304,40
2015-10-19,Barun Hydropower Co. Ltd.,322,304,310,322,30
2015-10-25,Barun Hydropower Co. Ltd.,353,322,328,353,60
2015-10-27,Barun Hydropower Co. Ltd.,388,353,360,388,920
2015-10-28,Barun Hydropower Co. Ltd.,426,388,395,419,5200
2015-10-29,Barun Hydropower Co. Ltd.,422,419,400,412,4740
2015-11-01,Barun Hydropower Co. Ltd.,410,412,391,400,2670
2015-11-02,Barun Hydropower Co. Ltd.,397,400,385,385,1800
2015-11-03,Barun Hydropower Co. Ltd.,378,385,357,368,620
2015-11-04,Barun Hydropower Co. Ltd.,387,368,365,380,860
2015-11-05,Barun Hydropower Co. Ltd.,389,380,370,382,890
2015-11-08,Barun Hydropower Co. Ltd.,382,382,375,380,820
2015-11-09,Barun Hydropower Co. Ltd.,397,380,372,380,1260
2015-11-10,Barun Hydropower Co. Ltd.,397,380,374,397,1710
2015-11-15,Barun Hydropower Co. Ltd.,390,397,376,376,40
2015-11-16,Barun Hydropower Co. Ltd.,376,376,363,374,740
2015-11-18,Barun Hydropower Co. Ltd.,384,374,375,381,2180
2015-11-19,Barun Hydropower Co. Ltd.,390,381,366,366,2440
2015-11-22,Barun Hydropower Co. Ltd.,370,366,354,370,980
2015-11-23,Barun Hydropower Co. Ltd.,368,370,363,367,250
2015-11-24,Barun Hydropower Co. Ltd.,365,367,350,360,1000
2015-11-25,Barun Hydropower Co. Ltd.,359,360,341,344,1920
2015-11-26,Barun Hydropower Co. Ltd.,338,344,330,330,1200
2015-11-29,Barun Hydropower Co. Ltd.,342,330,330,330,1530
2015-11-30,Barun Hydropower Co. Ltd.,330,330,325,325,580
2015-12-01,Barun Hydropower Co. Ltd.,333,325,325,333,740
2015-12-02,Barun Hydropower Co. Ltd.,338,333,338,338,20
2015-12-03,Barun Hydropower Co. Ltd.,335,338,325,325,960
2015-12-06,Barun Hydropower Co. Ltd.,337,325,325,325,650
2015-12-07,Barun Hydropower Co. Ltd.,326,325,320,322,420
2015-12-08,Barun Hydropower Co. Ltd.,320,322,310,315,460
2015-12-09,Barun Hydropower Co. Ltd.,321,315,314,314,750
2015-12-10,Barun Hydropower Co. Ltd.,317,314,305,317,480
2015-12-13,Barun Hydropower Co. Ltd.,315,317,303,305,1440
2015-12-14,Barun Hydropower Co. Ltd.,307,305,301,306,1190
2015-12-15,Barun Hydropower Co. Ltd.,307,306,300,307,720
2015-12-16,Barun Hydropower Co. Ltd.,313,307,299,299,1110
2015-12-17,Barun Hydropower Co. Ltd.,295,299,289,289,940
2015-12-20,Barun Hydropower Co. Ltd.,290,289,274,285,1280
2015-12-21,Barun Hydropower Co. Ltd.,286,285,276,281,1790
2015-12-22,Barun Hydropower Co. Ltd.,286,281,274,274,750
2015-12-23,Barun Hydropower Co. Ltd.,275,274,266,269,670
2015-12-24,Barun Hydropower Co. Ltd.,275,269,268,272,940
2015-12-27,Barun Hydropower Co. Ltd.,275,272,250,265,1450
2015-12-28,Barun Hydropower Co. Ltd.,274,265,258,273,910
2015-12-29,Barun Hydropower Co. Ltd.,280,273,265,273,750
2015-12-31,Barun Hydropower Co. Ltd.,276,273,265,271,2330
2016-01-03,Barun Hydropower Co. Ltd.,271,271,261,267,1230
2016-01-04,Barun Hydropower Co. Ltd.,280,267,266,276,1050
2016-01-05,Barun Hydropower Co. Ltd.,281,276,270,277,1690
2016-01-06,Barun Hydropower Co. Ltd.,285,277,270,280,1580
2016-01-07,Barun Hydropower Co. Ltd.,283,280,270,283,1060
2016-01-10,Barun Hydropower Co. Ltd.,288,283,267,282,1690
2016-01-11,Barun Hydropower Co. Ltd.,282,282,260,273,4310
2016-01-12,Barun Hydropower Co. Ltd.,280,273,258,275,4060
2016-01-13,Barun Hydropower Co. Ltd.,290,275,269,290,4650
2016-01-14,Barun Hydropower Co. Ltd.,306,290,270,280,5130
2016-01-24,Barun Hydropower Co. Ltd.,308,280,285,308,900
2016-01-25,Barun Hydropower Co. Ltd.,338,308,314,330,3950
2016-01-26,Barun Hydropower Co. Ltd.,336,330,324,324,1980
2016-01-27,Barun Hydropower Co. Ltd.,318,324,312,312,500
2016-01-28,Barun Hydropower Co. Ltd.,320,312,312,320,665
2016-02-01,Barun Hydropower Co. Ltd.,320,320,314,314,70
2016-02-04,Barun Hydropower Co. Ltd.,316,314,316,316,10
2016-02-07,Barun Hydropower Co. Ltd.,315,316,315,315,80
2016-02-08,Barun Hydropower Co. Ltd.,336,315,320,336,1655
2016-02-11,Barun Hydropower Co. Ltd.,352,336,335,352,440
2016-02-14,Barun Hydropower Co. Ltd.,345,352,345,345,10
2016-02-15,Barun Hydropower Co. Ltd.,345,345,339,345,160
2016-02-16,Barun Hydropower Co. Ltd.,340,345,339,340,80
2016-02-18,Barun Hydropower Co. Ltd.,359,340,345,347,510
2016-05-22,Barun Hydropower Co. Ltd.,403,395,392,403,860
2016-05-23,Barun Hydropower Co. Ltd.,406,403,400,400,410
2016-05-25,Barun Hydropower Co. Ltd.,405,401,372,372,280
2016-05-26,Barun Hydropower Co. Ltd.,390,372,366,390,130
2016-05-29,Barun Hydropower Co. Ltd.,400,390,395,399,220
2016-05-30,Barun Hydropower Co. Ltd.,400,399,391,400,360
2016-06-01,Barun Hydropower Co. Ltd.,456,440,412,412,2960
2016-06-06,Barun Hydropower Co. Ltd.,400,395,391,400,280
2016-06-12,Barun Hydropower Co. Ltd.,395,394,390,393,510
2016-06-13,Barun Hydropower Co. Ltd.,412,393,391,412,220
2016-02-21,Barun Hydropower Co. Ltd.,347,347,347,347,70
2016-02-22,Barun Hydropower Co. Ltd.,350,347,346,350,160
2016-02-23,Barun Hydropower Co. Ltd.,345,350,345,345,20
2016-02-24,Barun Hydropower Co. Ltd.,345,345,345,345,10
