date,company,open,high,low,close,volume
2010-05-10,Himalayan Bank Limited,875,796,795,874,517
2010-05-11,Himalayan Bank Limited,930,874,890,928,531
2010-05-12,Himalayan Bank Limited,965,928,912,965,495
2010-05-13,Himalayan Bank Limited,1006,965,951,1006,725
2010-05-16,Himalayan Bank Limited,1025,1006,961,1006,225
2010-05-18,Himalayan Bank Limited,986,1006,906,906,545
2010-05-19,Himalayan Bank Limited,900,906,842,861,1361
2010-05-20,Himalayan Bank Limited,890,861,878,880,478
2010-05-23,Himalayan Bank Limited,910,880,897,910,885
2010-05-24,Himalayan Bank Limited,900,910,875,875,314
2010-05-25,Himalayan Bank Limited,924,875,890,924,456
2010-05-26,Himalayan Bank Limited,960,924,942,955,866
2010-05-31,Himalayan Bank Limited,993,955,936,950,1204
2010-06-01,Himalayan Bank Limited,940,950,923,925,306
2010-06-02,Himalayan Bank Limited,925,925,925,925,69
2010-06-03,Himalayan Bank Limited,915,925,915,915,158
2010-06-06,Himalayan Bank Limited,910,915,882,882,225
2010-06-07,Himalayan Bank Limited,880,882,880,880,145
2010-06-08,Himalayan Bank Limited,897,880,895,897,203
2010-06-09,Himalayan Bank Limited,900,897,895,900,322
2010-06-10,Himalayan Bank Limited,910,900,900,910,487
2010-06-13,Himalayan Bank Limited,915,910,900,900,439
2010-06-14,Himalayan Bank Limited,900,900,882,882,122
2010-06-15,Himalayan Bank Limited,899,882,899,899,12
2010-06-16,Himalayan Bank Limited,890,899,890,890,49
2010-06-17,Himalayan Bank Limited,894,890,890,894,59
2010-06-20,Himalayan Bank Limited,877,894,877,877,26
2010-06-21,Himalayan Bank Limited,880,877,880,880,108
2010-06-22,Himalayan Bank Limited,885,880,875,885,215
2010-06-23,Himalayan Bank Limited,900,885,885,885,114
2010-06-24,Himalayan Bank Limited,885,885,885,885,100
2010-06-28,Himalayan Bank Limited,880,885,870,870,123
2010-06-29,Himalayan Bank Limited,860,870,846,846,142
