date,company,open,high,low,close,volume
2010-05-16,Infrastructure Development Bank Ltd.,258,263,258,258,40
2010-05-18,Infrastructure Development Bank Ltd.,253,258,253,253,30
2010-05-25,Infrastructure Development Bank Ltd.,263,253,258,263,420
2010-05-26,Infrastructure Development Bank Ltd.,278,263,263,268,1530
2010-05-31,Infrastructure Development Bank Ltd.,274,268,270,270,850
2010-06-01,Infrastructure Development Bank Ltd.,270,270,270,270,120
2010-06-02,Infrastructure Development Bank Ltd.,265,270,265,265,240
2010-06-03,Infrastructure Development Bank Ltd.,270,265,270,270,100
2010-06-06,Infrastructure Development Bank Ltd.,270,270,265,265,60
2010-06-09,Infrastructure Development Bank Ltd.,270,265,270,270,100
2010-06-10,Infrastructure Development Bank Ltd.,265,270,265,265,150
2010-06-20,Infrastructure Development Bank Ltd.,260,265,260,260,680
2010-06-23,Infrastructure Development Bank Ltd.,260,260,260,260,960
2010-06-24,Infrastructure Development Bank Ltd.,260,260,260,260,960
2010-06-29,Infrastructure Development Bank Ltd.,260,260,260,260,25
2010-07-01,Infrastructure Development Bank Ltd.,270,260,260,260,540
2010-07-04,Infrastructure Development Bank Ltd.,255,260,245,245,360
2010-07-05,Infrastructure Development Bank Ltd.,245,245,237,237,280
2010-07-06,Infrastructure Development Bank Ltd.,233,237,233,233,450
2010-07-07,Infrastructure Development Bank Ltd.,239,233,231,239,940
2010-07-08,Infrastructure Development Bank Ltd.,243,239,243,243,444
2010-07-11,Infrastructure Development Bank Ltd.,255,243,244,255,140
2010-07-12,Infrastructure Development Bank Ltd.,275,255,255,275,1290
2010-07-13,Infrastructure Development Bank Ltd.,270,275,265,270,170
2010-07-14,Infrastructure Development Bank Ltd.,275,270,265,275,280
2010-07-15,Infrastructure Development Bank Ltd.,275,275,270,270,80
2010-07-18,Infrastructure Development Bank Ltd.,271,270,266,266,560
2010-07-19,Infrastructure Development Bank Ltd.,261,266,246,246,730
2010-07-20,Infrastructure Development Bank Ltd.,246,246,241,241,280
2010-07-21,Infrastructure Development Bank Ltd.,245,241,241,245,200
2010-07-22,Infrastructure Development Bank Ltd.,243,245,240,240,572
2010-07-25,Infrastructure Development Bank Ltd.,236,240,216,216,5944
2010-07-26,Infrastructure Development Bank Ltd.,237,216,214,237,2648
2010-07-27,Infrastructure Development Bank Ltd.,253,237,233,253,2920
2010-07-28,Infrastructure Development Bank Ltd.,277,253,228,272,9342
2010-07-29,Infrastructure Development Bank Ltd.,287,272,245,249,10706
2010-08-22,Infrastructure Development Bank Ltd.,157,249,157,157,80
2010-09-05,Infrastructure Development Bank Ltd.,160,157,157,157,60
2010-09-06,Infrastructure Development Bank Ltd.,154,157,143,143,1224
2010-09-07,Infrastructure Development Bank Ltd.,142,143,141,141,336
2010-09-08,Infrastructure Development Bank Ltd.,141,141,130,135,2976
2010-09-09,Infrastructure Development Bank Ltd.,135,135,132,134,886
2010-09-12,Infrastructure Development Bank Ltd.,134,134,130,134,2524
2010-09-13,Infrastructure Development Bank Ltd.,132,134,128,132,2015
2010-09-14,Infrastructure Development Bank Ltd.,132,132,128,130,2821
2010-09-15,Infrastructure Development Bank Ltd.,131,130,129,130,2582
2010-09-16,Infrastructure Development Bank Ltd.,134,130,130,134,320
2010-09-19,Infrastructure Development Bank Ltd.,137,134,135,137,861
2010-09-20,Infrastructure Development Bank Ltd.,138,137,135,137,2039
2010-09-21,Infrastructure Development Bank Ltd.,137,137,135,135,1522
2010-09-23,Infrastructure Development Bank Ltd.,140,135,136,140,2576
2010-09-26,Infrastructure Development Bank Ltd.,141,140,139,140,960
2010-09-27,Infrastructure Development Bank Ltd.,140,140,135,138,2804
2010-09-28,Infrastructure Development Bank Ltd.,141,138,136,141,1132
2010-09-29,Infrastructure Development Bank Ltd.,141,141,139,141,750
2010-09-30,Infrastructure Development Bank Ltd.,143,141,139,143,676
2010-10-03,Infrastructure Development Bank Ltd.,143,143,140,142,606
2010-10-05,Infrastructure Development Bank Ltd.,141,139,137,141,1343
2010-10-06,Infrastructure Development Bank Ltd.,142,141,138,142,3134
2010-10-07,Infrastructure Development Bank Ltd.,145,142,142,145,1584
2010-10-10,Infrastructure Development Bank Ltd.,149,145,147,149,422
2010-10-11,Infrastructure Development Bank Ltd.,151,149,148,150,2488
2010-10-12,Infrastructure Development Bank Ltd.,153,150,153,153,600
2010-10-13,Infrastructure Development Bank Ltd.,156,153,156,156,46
2010-10-20,Infrastructure Development Bank Ltd.,159,156,159,159,100
2010-10-21,Infrastructure Development Bank Ltd.,162,159,159,162,344
2010-10-24,Infrastructure Development Bank Ltd.,159,162,156,156,145
2010-10-25,Infrastructure Development Bank Ltd.,159,156,159,159,372
2010-10-26,Infrastructure Development Bank Ltd.,163,159,160,163,350
2010-10-27,Infrastructure Development Bank Ltd.,167,163,165,165,246
2010-10-28,Infrastructure Development Bank Ltd.,164,165,161,164,332
2010-11-02,Infrastructure Development Bank Ltd.,162,165,156,160,398
2010-11-03,Infrastructure Development Bank Ltd.,160,160,158,160,308
2010-11-09,Infrastructure Development Bank Ltd.,163,160,160,160,194
2010-11-10,Infrastructure Development Bank Ltd.,160,160,148,160,812
2010-11-11,Infrastructure Development Bank Ltd.,160,160,151,160,1208
2010-11-14,Infrastructure Development Bank Ltd.,160,160,160,160,220
2010-11-16,Infrastructure Development Bank Ltd.,157,160,157,157,352
2010-11-18,Infrastructure Development Bank Ltd.,154,157,151,151,100
2010-11-23,Infrastructure Development Bank Ltd.,148,151,148,148,312
2010-11-24,Infrastructure Development Bank Ltd.,150,148,146,146,1012
2010-11-25,Infrastructure Development Bank Ltd.,148,146,144,144,520
2010-11-28,Infrastructure Development Bank Ltd.,142,144,140,140,1249
2010-11-29,Infrastructure Development Bank Ltd.,140,140,134,134,264
2010-12-01,Infrastructure Development Bank Ltd.,132,134,131,131,452
2010-12-02,Infrastructure Development Bank Ltd.,140,131,131,140,1476
2010-12-05,Infrastructure Development Bank Ltd.,141,140,140,141,152
2010-12-06,Infrastructure Development Bank Ltd.,143,141,135,135,812
2010-12-07,Infrastructure Development Bank Ltd.,138,135,135,138,281
2010-12-08,Infrastructure Development Bank Ltd.,144,138,138,144,1700
2010-12-09,Infrastructure Development Bank Ltd.,144,144,142,142,1880
2010-12-12,Infrastructure Development Bank Ltd.,142,142,138,142,234
2010-12-13,Infrastructure Development Bank Ltd.,145,142,141,145,720
2010-12-14,Infrastructure Development Bank Ltd.,150,145,143,149,4691
2010-12-15,Infrastructure Development Bank Ltd.,151,149,147,151,2670
2010-12-16,Infrastructure Development Bank Ltd.,148,151,148,148,250
2010-12-19,Infrastructure Development Bank Ltd.,150,148,148,150,144
2010-12-22,Infrastructure Development Bank Ltd.,153,150,152,153,26
2010-12-23,Infrastructure Development Bank Ltd.,155,153,155,155,44
2010-12-26,Infrastructure Development Bank Ltd.,157,155,154,157,252
2010-12-27,Infrastructure Development Bank Ltd.,162,157,157,162,357
2010-12-28,Infrastructure Development Bank Ltd.,159,162,159,159,98
2010-12-29,Infrastructure Development Bank Ltd.,165,159,159,163,450
2011-01-03,Infrastructure Development Bank Ltd.,168,163,165,165,116
2011-01-04,Infrastructure Development Bank Ltd.,168,165,165,165,266
2011-01-10,Infrastructure Development Bank Ltd.,162,165,162,162,20
2011-01-12,Infrastructure Development Bank Ltd.,159,162,156,156,660
2011-01-13,Infrastructure Development Bank Ltd.,159,156,159,159,10
2011-01-16,Infrastructure Development Bank Ltd.,156,159,147,147,543
2011-01-17,Infrastructure Development Bank Ltd.,148,147,145,147,2698
2011-01-18,Infrastructure Development Bank Ltd.,147,147,141,147,530
2011-01-19,Infrastructure Development Bank Ltd.,147,147,141,147,1636
2011-01-20,Infrastructure Development Bank Ltd.,145,147,143,143,402
2011-01-23,Infrastructure Development Bank Ltd.,143,143,139,143,1306
2011-01-24,Infrastructure Development Bank Ltd.,145,143,145,145,88
2011-02-01,Infrastructure Development Bank Ltd.,145,145,137,137,798
2011-02-02,Infrastructure Development Bank Ltd.,135,137,133,133,380
2011-02-03,Infrastructure Development Bank Ltd.,132,133,132,132,24
2011-02-06,Infrastructure Development Bank Ltd.,132,132,130,130,267
2011-02-08,Infrastructure Development Bank Ltd.,136,130,132,136,312
2011-02-09,Infrastructure Development Bank Ltd.,135,136,135,135,30
2011-02-17,Infrastructure Development Bank Ltd.,139,135,137,139,40
2011-02-20,Infrastructure Development Bank Ltd.,139,139,135,135,800
2011-02-21,Infrastructure Development Bank Ltd.,137,135,135,137,740
2011-02-22,Infrastructure Development Bank Ltd.,137,137,134,135,654
2011-02-24,Infrastructure Development Bank Ltd.,135,135,135,135,360
2011-02-28,Infrastructure Development Bank Ltd.,135,135,133,133,120
2011-03-01,Infrastructure Development Bank Ltd.,132,133,126,126,787
2011-03-03,Infrastructure Development Bank Ltd.,124,126,122,124,1720
2011-03-07,Infrastructure Development Bank Ltd.,122,124,120,120,143
2011-03-09,Infrastructure Development Bank Ltd.,124,120,118,124,1190
2011-03-10,Infrastructure Development Bank Ltd.,123,124,118,122,3897
2011-03-13,Infrastructure Development Bank Ltd.,124,122,116,124,3902
2011-03-14,Infrastructure Development Bank Ltd.,127,124,125,127,1020
2011-03-15,Infrastructure Development Bank Ltd.,133,127,129,133,50
2011-03-16,Infrastructure Development Bank Ltd.,139,133,135,139,37
2011-03-17,Infrastructure Development Bank Ltd.,145,139,141,145,64
2011-03-21,Infrastructure Development Bank Ltd.,143,145,143,143,10
2011-03-22,Infrastructure Development Bank Ltd.,142,143,141,142,1010
2011-03-23,Infrastructure Development Bank Ltd.,144,142,134,134,264
2011-03-24,Infrastructure Development Bank Ltd.,132,134,121,123,2722
2011-03-29,Infrastructure Development Bank Ltd.,121,123,121,121,78
2011-03-30,Infrastructure Development Bank Ltd.,123,121,123,123,10
2011-03-31,Infrastructure Development Bank Ltd.,121,123,117,120,1632
2011-04-04,Infrastructure Development Bank Ltd.,120,120,114,116,844
2011-04-05,Infrastructure Development Bank Ltd.,118,116,116,116,64
2011-04-06,Infrastructure Development Bank Ltd.,116,116,114,116,154
2011-04-07,Infrastructure Development Bank Ltd.,122,116,118,122,106
2011-04-10,Infrastructure Development Bank Ltd.,120,122,120,120,96
2011-04-11,Infrastructure Development Bank Ltd.,122,120,122,122,10
2011-04-13,Infrastructure Development Bank Ltd.,126,122,120,126,244
2011-04-17,Infrastructure Development Bank Ltd.,130,126,128,130,40
2011-04-18,Infrastructure Development Bank Ltd.,134,130,132,134,20
2011-04-20,Infrastructure Development Bank Ltd.,131,134,127,131,338
2011-04-21,Infrastructure Development Bank Ltd.,133,131,133,133,10
2011-04-27,Infrastructure Development Bank Ltd.,135,133,135,135,20
2011-04-28,Infrastructure Development Bank Ltd.,137,135,137,137,20
2011-05-02,Infrastructure Development Bank Ltd.,139,137,139,139,10
2011-05-03,Infrastructure Development Bank Ltd.,137,139,126,126,1070
2011-05-04,Infrastructure Development Bank Ltd.,132,126,128,130,130
2011-05-08,Infrastructure Development Bank Ltd.,132,130,132,132,10
2011-05-09,Infrastructure Development Bank Ltd.,136,132,134,136,30
2011-05-10,Infrastructure Development Bank Ltd.,140,136,138,140,30
2011-05-11,Infrastructure Development Bank Ltd.,138,140,138,138,20
2011-05-16,Infrastructure Development Bank Ltd.,136,138,126,126,900
2011-05-18,Infrastructure Development Bank Ltd.,128,126,114,114,1794
2011-05-19,Infrastructure Development Bank Ltd.,118,114,103,103,5688
2011-05-22,Infrastructure Development Bank Ltd.,105,103,101,105,3814
2011-05-23,Infrastructure Development Bank Ltd.,109,105,101,108,5037
2011-05-24,Infrastructure Development Bank Ltd.,106,108,98,106,5983
2011-05-25,Infrastructure Development Bank Ltd.,105,106,100,105,3874
2011-05-26,Infrastructure Development Bank Ltd.,106,105,104,104,2676
2011-05-30,Infrastructure Development Bank Ltd.,107,104,100,107,750
2011-05-31,Infrastructure Development Bank Ltd.,109,107,103,109,7080
