date,company,open,high,low,close,volume
2017-08-27,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1626,0,1626,1626,10
2017-08-31,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1658,1626,1658,1658,100
2017-10-08,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1724,1658,1691,1724,110
2017-10-29,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1758,1724,1758,1758,10
2017-11-05,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1828,1758,1793,1828,30
2017-11-06,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1977,1828,1864,1977,40
2017-11-19,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1398,1371,1398,1398,10
2017-11-08,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2056,1977,2016,2056,20
2017-12-06,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1453,1398,1425,1453,20
2017-12-10,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1511,1453,1482,1511,20
2017-12-11,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1571,1511,1541,1571,20
2017-12-12,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1634,1571,1602,1634,20
2017-12-13,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1732,1634,1666,1732,30
2017-12-14,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1801,1732,1766,1801,20
2017-12-26,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2655,2414,2462,2655,60
2017-12-17,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1910,1801,1837,1910,30
2017-12-18,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2005,1910,2005,2005,10
2017-12-20,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2085,2005,2045,2085,120
2017-12-21,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2211,2085,2126,2211,35
2017-12-24,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2414,2211,2321,2414,30
2017-12-27,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2920,2655,2708,2920,170
2017-12-28,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3212,2920,2978,3212,880
2017-12-31,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3341,3212,3086,3150,5336
2018-01-01,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3160,3150,3103,3150,2071
2018-01-10,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2965,2990,2951,2951,270
2018-01-03,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3098,3100,3002,3020,955
2018-01-07,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3050,2982,2935,2985,360
2018-01-09,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3004,3005,2971,2990,250
2018-01-01,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3160,3150,3103,3150,2071
2018-01-02,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3105,3150,3040,3100,1540
2018-01-04,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3020,3020,2973,2982,520
2018-01-08,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3044,2985,2998,3005,591
2018-01-25,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2890,2836,2834,2885,190
2018-01-17,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3000,3000,2930,2942,243
2018-01-21,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2950,2942,2902,2905,260
2018-01-22,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2905,2905,2875,2890,130
2018-01-24,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2907,2851,2830,2836,270
2018-01-14,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2980,2951,2852,2920,500
2018-01-16,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3000,2920,2900,3000,370
2018-01-23,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2899,2890,2845,2851,320
2018-01-29,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2850,2843,2831,2849,120
2018-01-28,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2860,2885,2837,2843,220
2018-02-11,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2818,2841,2800,2817,50
2018-01-31,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2870,2849,2850,2870,100
2018-02-01,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2900,2870,2848,2848,50
2018-02-05,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2875,2900,2850,2860,50
2018-02-06,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2856,2860,2846,2856,50
2018-02-04,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2940,2848,2865,2900,280
2018-02-07,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2880,2856,2830,2830,299
2018-02-08,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2886,2830,2811,2841,99
2018-02-14,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2850,2821,2790,2850,170
2018-02-12,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2830,2817,2820,2821,150
2018-02-18,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,3009,2954,2893,2895,120
2018-02-15,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2954,2850,2815,2954,262
2018-02-21,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2840,2847,2800,2800,90
2018-03-15,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2455,2408,2400,2449,260
2018-02-22,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2850,2800,2781,2850,280
2018-02-26,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2740,2785,2731,2737,270
2018-02-28,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2716,2770,2683,2705,130
2018-03-04,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2653,2705,2499,2510,479
2018-03-05,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2500,2510,2385,2387,650
2018-03-11,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2480,2500,2431,2431,50
2018-03-12,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2400,2431,2352,2352,380
2018-02-20,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2952,2895,2847,2847,60
2018-02-25,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2810,2850,2784,2785,230
2018-02-27,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2770,2737,2730,2770,160
2018-03-06,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2485,2387,2350,2485,160
2018-03-07,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2524,2485,2436,2500,270
2018-03-18,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2440,2449,2401,2405,80
2018-03-20,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2361,2400,2355,2361,70
2018-03-19,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2400,2405,2370,2400,190
2018-03-14,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2408,2352,2361,2408,50
