date,company,open,high,low,close,volume
2010-05-09,NIC Asia Bank Ltd.,502,512,481,484,1094
2010-05-10,NIC Asia Bank Ltd.,488,484,480,481,412
2010-05-12,NIC Asia Bank Ltd.,499,481,490,499,20
2010-05-13,NIC Asia Bank Ltd.,548,499,508,548,2519
2010-05-16,NIC Asia Bank Ltd.,555,548,510,525,3010
2010-05-17,NIC Asia Bank Ltd.,550,525,507,548,3039
2010-05-18,NIC Asia Bank Ltd.,571,548,540,571,2295
2010-05-19,NIC Asia Bank Ltd.,594,571,570,580,3115
2010-05-20,NIC Asia Bank Ltd.,615,580,589,609,4217
2010-05-23,NIC Asia Bank Ltd.,621,609,590,600,2340
2010-05-24,NIC Asia Bank Ltd.,610,600,590,600,1227
2010-05-25,NIC Asia Bank Ltd.,660,600,600,660,2896
2010-05-26,NIC Asia Bank Ltd.,680,660,620,636,3896
2010-05-30,NIC Asia Bank Ltd.,699,636,648,699,1101
2010-05-31,NIC Asia Bank Ltd.,754,699,640,645,4674
2010-06-01,NIC Asia Bank Ltd.,667,645,597,655,1644
2010-06-02,NIC Asia Bank Ltd.,664,655,644,660,756
2010-06-03,NIC Asia Bank Ltd.,696,660,660,675,2066
2010-06-06,NIC Asia Bank Ltd.,670,675,655,655,1195
2010-06-07,NIC Asia Bank Ltd.,668,655,645,660,3024
2010-06-08,NIC Asia Bank Ltd.,683,660,655,672,1222
2010-06-09,NIC Asia Bank Ltd.,687,672,670,674,2255
2010-06-10,NIC Asia Bank Ltd.,679,674,670,674,2248
2010-06-13,NIC Asia Bank Ltd.,670,674,663,669,1540
2010-06-14,NIC Asia Bank Ltd.,665,669,658,665,1059
2010-06-15,NIC Asia Bank Ltd.,665,665,659,659,1128
2010-06-16,NIC Asia Bank Ltd.,655,659,652,655,471
2010-06-17,NIC Asia Bank Ltd.,652,655,642,650,2752
2010-06-20,NIC Asia Bank Ltd.,659,650,648,659,771
2010-06-21,NIC Asia Bank Ltd.,664,659,650,660,1245
2010-06-22,NIC Asia Bank Ltd.,660,660,655,660,470
2010-06-23,NIC Asia Bank Ltd.,660,660,651,655,743
2010-06-24,NIC Asia Bank Ltd.,655,655,650,650,419
2010-06-28,NIC Asia Bank Ltd.,660,650,647,647,329
2010-06-29,NIC Asia Bank Ltd.,642,647,623,625,959
2010-06-30,NIC Asia Bank Ltd.,629,625,624,625,810
2010-07-01,NIC Asia Bank Ltd.,661,625,637,645,1103
2010-07-04,NIC Asia Bank Ltd.,633,645,624,630,274
2010-07-05,NIC Asia Bank Ltd.,630,630,625,630,427
2010-07-06,NIC Asia Bank Ltd.,630,630,630,630,351
2010-07-07,NIC Asia Bank Ltd.,645,630,633,635,1217
2010-07-08,NIC Asia Bank Ltd.,635,635,613,635,1028
2010-07-11,NIC Asia Bank Ltd.,635,635,623,635,653
2010-07-12,NIC Asia Bank Ltd.,635,635,628,630,954
2010-07-13,NIC Asia Bank Ltd.,631,630,630,630,548
2010-07-14,NIC Asia Bank Ltd.,631,630,620,630,1851
2010-07-15,NIC Asia Bank Ltd.,631,630,626,626,1077
2010-07-18,NIC Asia Bank Ltd.,625,626,622,625,315
2010-07-19,NIC Asia Bank Ltd.,635,625,610,634,2240
2010-07-20,NIC Asia Bank Ltd.,645,634,631,631,664
2010-07-21,NIC Asia Bank Ltd.,649,631,643,643,547
2010-07-22,NIC Asia Bank Ltd.,649,643,640,649,533
2010-07-25,NIC Asia Bank Ltd.,640,649,638,640,217
2010-07-26,NIC Asia Bank Ltd.,650,640,640,641,459
2010-07-27,NIC Asia Bank Ltd.,650,641,650,650,224
2010-07-28,NIC Asia Bank Ltd.,660,650,650,652,338
2010-07-29,NIC Asia Bank Ltd.,653,652,649,650,586
2010-08-02,NIC Asia Bank Ltd.,655,650,647,655,262
2010-08-03,NIC Asia Bank Ltd.,660,655,647,647,97
2010-08-04,NIC Asia Bank Ltd.,640,647,635,636,1284
2010-08-05,NIC Asia Bank Ltd.,648,636,634,635,1192
2010-08-08,NIC Asia Bank Ltd.,625,635,625,625,56
2010-08-09,NIC Asia Bank Ltd.,635,625,630,635,278
2010-08-10,NIC Asia Bank Ltd.,630,635,625,630,482
2010-08-11,NIC Asia Bank Ltd.,632,630,632,632,75
2010-08-12,NIC Asia Bank Ltd.,632,632,620,628,318
2010-08-15,NIC Asia Bank Ltd.,630,628,625,630,300
2010-08-16,NIC Asia Bank Ltd.,630,630,610,610,829
