date,company,open,high,low,close,volume
2010-05-09,NMB Bank Limited,260,265,260,260,495
2010-05-10,NMB Bank Limited,260,260,255,260,1833
2010-05-11,NMB Bank Limited,280,260,260,280,2811
2010-05-12,NMB Bank Limited,298,280,280,287,1213
2010-05-13,NMB Bank Limited,297,287,282,282,1993
2010-05-17,NMB Bank Limited,277,282,272,272,344
2010-05-18,NMB Bank Limited,267,272,262,262,144
2010-05-19,NMB Bank Limited,272,262,267,272,99
2010-05-20,NMB Bank Limited,287,272,272,285,1157
2010-05-23,NMB Bank Limited,280,285,280,280,20
2010-05-24,NMB Bank Limited,287,280,285,285,371
2010-05-25,NMB Bank Limited,310,285,290,305,665
2010-05-26,NMB Bank Limited,310,305,300,306,1328
2010-05-30,NMB Bank Limited,324,306,312,324,204
2010-05-31,NMB Bank Limited,330,324,305,306,1265
2010-06-01,NMB Bank Limited,300,306,276,285,2743
2010-06-02,NMB Bank Limited,285,285,281,285,306
2010-06-03,NMB Bank Limited,295,285,290,295,700
2010-06-06,NMB Bank Limited,300,295,290,290,711
2010-06-07,NMB Bank Limited,290,290,285,290,300
2010-06-08,NMB Bank Limited,300,290,295,300,229
2010-06-09,NMB Bank Limited,306,300,297,298,774
2010-06-10,NMB Bank Limited,300,298,293,295,506
2010-06-13,NMB Bank Limited,290,295,272,277,2108
2010-06-14,NMB Bank Limited,272,277,271,271,2232
2010-06-16,NMB Bank Limited,281,271,276,280,645
2010-06-17,NMB Bank Limited,287,280,285,286,300
2010-06-20,NMB Bank Limited,287,286,287,287,100
2010-06-21,NMB Bank Limited,294,287,290,294,373
2010-06-22,NMB Bank Limited,295,294,290,295,484
2010-06-23,NMB Bank Limited,290,295,290,290,300
2010-06-24,NMB Bank Limited,290,290,275,275,956
2010-06-28,NMB Bank Limited,272,275,270,272,368
2010-06-29,NMB Bank Limited,276,272,270,276,450
2010-06-30,NMB Bank Limited,277,276,277,277,26
2010-07-01,NMB Bank Limited,287,277,282,287,210
2010-07-05,NMB Bank Limited,285,287,280,280,487
2010-07-06,NMB Bank Limited,285,280,285,285,55
2010-07-07,NMB Bank Limited,290,285,285,285,685
2010-07-08,NMB Bank Limited,285,285,280,281,1658
2010-07-11,NMB Bank Limited,281,281,278,278,200
2010-07-12,NMB Bank Limited,282,278,278,278,572
2010-07-13,NMB Bank Limited,273,278,273,273,132
2010-07-14,NMB Bank Limited,282,273,278,280,1238
2010-07-15,NMB Bank Limited,295,280,285,295,281
2010-07-18,NMB Bank Limited,290,295,290,290,300
2010-07-19,NMB Bank Limited,298,290,295,298,140
2010-07-20,NMB Bank Limited,301,298,298,301,144
2010-07-21,NMB Bank Limited,306,301,299,299,250
2010-07-22,NMB Bank Limited,304,299,285,289,2856
2010-07-25,NMB Bank Limited,286,289,281,286,551
2010-07-26,NMB Bank Limited,283,286,283,283,143
2010-07-27,NMB Bank Limited,288,283,285,285,690
2010-07-28,NMB Bank Limited,290,285,287,288,1950
2010-07-29,NMB Bank Limited,289,288,285,289,1899
2010-08-01,NMB Bank Limited,290,289,280,285,1388
2010-08-02,NMB Bank Limited,289,285,285,285,1249
2010-08-03,NMB Bank Limited,285,285,285,285,160
2010-08-04,NMB Bank Limited,281,285,280,280,115
2010-08-05,NMB Bank Limited,280,280,280,280,189
2010-08-08,NMB Bank Limited,280,280,280,280,200
2010-08-09,NMB Bank Limited,278,280,270,270,223
2010-08-10,NMB Bank Limited,271,270,270,271,216
2010-08-11,NMB Bank Limited,279,271,274,275,456
2010-08-12,NMB Bank Limited,280,275,275,280,1586
2010-08-15,NMB Bank Limited,280,280,280,280,132
2010-08-16,NMB Bank Limited,288,280,278,288,1208
2010-08-17,NMB Bank Limited,285,288,283,285,289
2010-08-18,NMB Bank Limited,285,285,280,280,154
2010-08-19,NMB Bank Limited,285,280,285,285,433
2010-08-22,NMB Bank Limited,285,285,275,280,172
2010-08-23,NMB Bank Limited,285,280,281,285,1790
2010-08-26,NMB Bank Limited,291,285,288,291,787
2010-08-29,NMB Bank Limited,296,291,291,291,425
2010-08-30,NMB Bank Limited,286,291,285,285,790
2010-08-31,NMB Bank Limited,285,285,280,285,882
2010-09-02,NMB Bank Limited,285,285,278,280,828
2010-09-05,NMB Bank Limited,275,280,265,265,664
2010-09-06,NMB Bank Limited,280,265,270,280,296
2010-09-07,NMB Bank Limited,285,280,270,270,4114
2010-09-08,NMB Bank Limited,276,270,270,276,7257
2010-09-09,NMB Bank Limited,280,276,278,280,1416
