,0
0,167.13049060106277
1,167.40825843811035
2,167.5445498228073
3,167.54567229747772
4,167.42732775211334
5,167.20979726314545
6,166.91431856155396
7,166.5608538389206
8,166.16703742742538
9,165.74739134311676
10,165.3134464621544
11,164.87397849559784
12,164.43538427352905
13,164.0020707845688
14,163.57686972618103
15,163.16161787509918
16,162.75716984272003
17,162.363933801651
18,161.98193526268005
19,161.6108872294426
20,161.25050270557404
21,160.90037351846695
22,160.56007236242294
23,160.22922933101654
24,159.90746814012527
25,159.5944635272026
26,159.289877474308
27,158.99340385198593
28,158.70481306314468
29,158.42385637760162
