,0
0,316.59433
1,319.34857
2,321.79483
3,323.95178
4,325.7583
5,327.2558
6,328.4346
7,329.30038
8,329.83453
9,329.95538
10,329.7315
11,329.09097
12,328.0073
13,326.66183
14,325.04996
15,323.4481
16,321.9766
17,320.67648
18,319.55643
19,318.53436
20,317.5657
21,316.71802
22,315.9452
23,315.29272
24,314.92413
25,315.07138
26,315.706
27,316.59906
28,317.73022
29,318.98422
30,320.34924
31,321.72055
32,323.10483
33,324.51974
34,325.88757
35,327.14514
36,328.25363
37,329.1598
38,329.90323
39,330.5248
40,331.2251
41,331.98114
42,332.58844
43,333.34436
44,334.25937
45,335.30783
46,336.32156
47,337.2464
48,338.02325
49,338.62698
50,339.00986
51,339.236
52,339.45642
53,339.80896
54,340.19122
55,340.61307
56,341.01917
57,341.39914
58,342.1349
59,343.06702
60,344.21664
61,345.72238
62,347.75906
63,349.9751
64,353.2047
65,356.8319
66,360.5987
67,364.29416
68,368.12338
69,372.61713
70,377.78488
71,383.19962
72,388.6337
73,394.1141
74,399.30585
75,404.066
76,408.4539
77,412.61984
78,416.98135
79,421.596
80,426.85406
81,432.62012
82,438.19705
83,443.19836
84,446.94504
85,449.3906
86,450.3267
87,450.2247
88,449.14307
89,447.32053
