,0
0,558.7555
1,557.8077
2,556.7792
3,555.9818
4,555.4589
5,555.2696
6,555.4245
7,555.89197
8,556.6156
9,557.38306
10,558.26263
11,559.23083
12,560.1357
13,560.85425
14,561.3041
15,561.49054
16,561.4431
17,561.20575
18,560.80646
19,560.30365
20,559.7366
21,559.25366
22,558.897
23,558.59015
24,558.3261
25,558.00354
26,557.6542
27,557.3742
28,557.2384
29,557.30994
30,557.2242
31,557.06
32,556.7236
33,556.0415
34,555.29224
35,554.623
36,554.07416
37,553.61176
38,553.0865
39,552.5112
40,551.8618
41,550.9653
42,549.83655
43,548.5181
44,547.07
45,545.4448
46,543.5682
47,541.5718
48,539.3206
49,536.8266
50,534.1237
51,531.3728
52,528.6317
53,525.7707
54,522.8128
55,519.8787
56,517.0281
57,514.2172
58,511.64523
59,509.3605
60,507.51877
61,506.05478
62,504.99686
63,504.2887
64,503.8183
65,503.57007
66,503.5548
67,503.6571
68,503.92816
69,504.20697
70,504.54733
71,504.88007
72,504.9623
73,504.85437
74,504.47018
75,503.79385
76,502.92245
77,501.9736
78,500.97617
79,499.9826
80,499.0718
81,498.3113
82,497.6629
83,497.0879
84,496.5196
85,495.92245
86,495.42438
87,494.86725
88,494.1499
89,493.2424
90,492.23557
91,491.20554
92,490.22266
93,489.39447
94,488.6676
95,488.16653
96,487.95624
97,487.98953
98,488.28275
99,488.90536
100,489.8908
101,491.1735
102,492.6513
103,494.27783
104,495.95367
105,497.51843
106,498.95255
107,500.40506
108,501.78027
109,502.94705
110,504.0159
111,505.0207
112,505.99106
113,506.938
114,507.84045
115,508.72046
116,509.5335
117,510.22098
118,511.54303
119,513.4818
120,515.9944
121,519.2182
122,522.70807
123,526.26965
124,529.89
125,533.58307
126,537.45026
127,541.5081
128,545.73883
129,549.93634
130,554.06165
131,557.94
132,560.9699
133,563.31647
134,564.5906
135,564.6808
136,563.7106
137,561.9353
138,559.6511
139,556.88495
140,553.60736
141,549.99316
142,546.34436
143,542.8803
144,539.84973
145,537.35394
146,535.4116
147,534.3604
148,533.92096
149,534.3214
150,536.07294
151,538.9094
152,542.53937
153,547.29254
154,552.9408
155,559.2501
156,565.90497
157,573.0829
158,581.21124
159,590.1899
160,599.4592
161,607.2414
162,613.3109
163,617.1224
164,619.16003
165,619.54767
166,618.6592
167,616.4892
168,612.68304
169,607.36383
170,600.8872
171,593.3301
172,584.7466
173,575.50165
174,565.64166
175,556.2117
176,547.6597
177,540.23596
178,534.05164
179,529.2529
180,526.11273
181,524.2806
182,523.3338
183,522.94464
184,522.90546
185,523.0018
186,523.4024
187,524.68805
188,526.8974
189,530.1409
190,534.09564
191,538.53723
192,543.2314
193,548.0072
194,552.6976
195,557.16754
196,561.0268
197,564.2564
198,566.6885
199,568.2135
200,568.84503
201,568.6873
202,567.99945
203,567.0785
204,566.1551
205,565.3224
206,564.4463
207,563.4875
208,562.5173
209,561.60834
210,560.7876
211,560.05
212,559.41174
213,558.919
214,558.7331
215,558.78644
216,559.14984
217,559.79614
218,560.6744
219,561.7418
220,562.99396
221,564.35547
222,565.7578
223,567.11084
224,568.3632
225,569.47174
226,570.5087
227,571.5036
228,572.4075
229,573.0472
230,573.29877
231,573.16534
232,572.6383
233,572.03906
234,571.47797
235,571.05743
236,570.7839
237,570.55426
238,570.3855
239,570.2493
240,570.2105
241,570.32837
242,570.66364
243,571.0198
244,571.4721
245,571.943
246,572.34155
247,572.6273
248,572.7331
249,572.77203
250,572.6933
251,572.5137
252,572.2539
253,572.3404
254,572.7908
255,573.6519
256,575.16516
257,577.3987
258,580.2139
259,583.2306
260,586.2319
261,588.95215
262,591.2692
263,593.1408
264,594.69763
265,595.93085
266,596.79736
267,597.3314
268,597.7051
269,598.01044
270,598.3383
271,598.7249
272,600.4141
273,602.9619
274,605.7085
275,609.1338
276,613.915
277,620.08026
278,626.90735
279,634.25354
280,641.39575
281,647.9384
282,653.68134
283,658.3629
284,662.05994
285,664.90283
286,666.7011
287,667.67505
288,667.8506
289,667.0948
290,665.702
291,663.8321
292,661.70465
293,659.37836
294,657.15546
295,654.10736
296,650.81744
297,646.7097
298,641.6956
299,636.01843
300,629.97034
301,623.72516
302,617.4426
303,611.3977
304,605.6729
305,600.39484
306,595.7156
307,591.7199
308,588.4391
309,585.7164
310,583.5441
311,581.80853
312,580.3461
313,579.0796
314,577.9878
315,577.00305
316,575.86005
317,574.42267
318,572.8807
319,571.2505
320,569.4399
321,567.46295
322,565.4661
323,563.45575
324,561.676
325,560.23285
326,558.9044
327,557.8171
328,557.02637
329,556.5251
330,556.28546
331,556.1943
332,556.20074
333,556.43896
334,556.9837
335,557.38275
336,557.6896
337,557.7494
338,557.4909
339,557.07135
340,556.54425
341,555.92035
342,555.10944
343,554.0842
344,552.552
345,550.6733
346,548.4105
347,546.02295
348,543.38464
349,540.48663
350,537.44604
351,534.3565
352,531.2401
353,528.18445
354,525.2444
355,522.5309
356,520.1745
357,518.0886
358,516.22565
359,514.5905
360,513.23
361,512.1593
362,511.35013
363,510.79803
364,510.46985
365,510.3271
366,510.4814
367,511.1918
368,512.2888
369,513.7858
370,515.46814
371,517.254
372,518.68884
373,519.77844
374,520.4465
375,520.5988
376,520.2224
377,519.3575
378,518.0876
379,516.5577
380,514.88556
381,513.13245
382,511.3284
383,509.52228
384,507.76956
385,506.1046
386,504.54474
